Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,latlong,Somme Dedoublement,name,route,source,source_url
,unknown,unknown - supposedly exhaustion related death,,2015-08-27T00:00:00Z,3Q2015,2015 -- 8,2015,200,0,200,Up to 200 bodies have been discovered floating off the coast of Libya,Zuwara,33,12.2,"33, 12.2",,,Central Mediterranean route,Libyan Coastguards,http://www.theguardian.com/world/2015/aug/27/at-least-30-dead-after-boat-carrying-migrants-sinks-in-mediterranean
,asphyxiated,drowning or exhaustion related death,,2015-08-27T00:00:00Z,3Q2015,2015 -- 8,2015,70,0,70,"Up to 70 people, presumed to be asylum-seekers, have been found dead in the back of a lorry in Austria.",Parndorf,48,16.8,"48, 16.8",,,Western Balkan route       ,Austrian Police,http://www.ft.com/cms/s/0/83323a26-4cc0-11e5-9b5d-89a026fda5c9.html#axzz3k5quE1Mi
,heart failure,drowning or exhaustion related death,,2015-08-25T00:00:00Z,3Q2015,2015 -- 8,2015,1,0,1,A 15 year old Somalian died on the boat of MSF taking him to Italy,Between Libya and Sicily,35,14,"35, 14",,,Central Mediterranean route,MSF,http://www.lefigaro.fr/flash-actu/2015/08/25/97001-20150825FILWWW00114-migrants-un-ado-mort-apres-avoir-ete-secouru.php
,unknown,unknown - supposedly exhaustion related death,,2015-08-26T00:00:00Z,3Q2015,2015 -- 8,2015,52,0,52,52 found dead' in hold of migrant boat off Libya,Off Libya,35,17,"35, 17",,,Central European Route,AFP,http://www.theguardian.com/world/2015/aug/27/at-least-30-dead-after-boat-carrying-migrants-sinks-in-mediterranean
,drowned,drowning or exhaustion related death,,2015-08-24T00:00:00Z,3Q2015,2015 -- 8,2015,3,0,3,"Turkey's coast guard recovered three bodies and rescued 73 refugees from Syria and Afghanistan after a fishing boat that would have taken them to Lesbos capsized about off Turkey's Aegean coast at Canakkale, Turkey's state-run Anadolu Agency reported.",Near Canakkale,40.1,26.4,"40.1, 26.4",,,Eastern Mediterranean route,Turkey's state-run Anadolu Agency,http://www.aa.com.tr/tr/s/580137--ege-denizinde-kacaklari-tasiyan-tekne-batti
,unknown,unknown - supposedly exhaustion related death,,2015-08-24T00:00:00Z,3Q2015,2015 -- 8,2015,2,5,7,"Greece's coast guard recovered the bodies of two men, rescued six people and was searching for at least five more missing off the coast of the eastern Aegean island of Lesbos",Near Lesbos,39.1,26.2,"39.1, 26.2",,,Eastern Mediterranean route,Associated Press,http://bigstory.ap.org/article/9b67577e90904ca495bff7c28d29ebd6/migrant-boat-capsizes-greek-island-1-dead-6-rescued#
,unknown,unknown - supposedly exhaustion related death,,2015-08-16T00:00:00Z,3Q2015,2015 -- 8,2015,1,0,1,Red Cross found a 16 year old Syrian dead on a boat in Kos,Near Kos,31.1,27.1,"31.1, 27.1",,,Eastern Mediterranean route,Croix Rouge,http://www.h24info.ma/monde/international/sur-lile-de-kos-la-situation-toujours-explosive-malgre-les-mesures-prises/35588#ad-image-0
,unknown,unknown - supposedly exhaustion related death,,2015-08-19T00:00:00Z,3Q2015,2015 -- 8,2015,1,0,1,"Greece's coast guard rescued hundreds of migrants in more than a dozen search-and-rescue operations, including one in which a toddler found unconscious in an overcrowded dinghy died",Off Samos,37.7,26.8,"37.7, 26.8",,,Eastern Mediterranean route,Associated Press,http://www.usnews.com/news/world/articles/2015/08/19/greek-coast-guard-rescues-hundreds-off-aegean-islands
,drowned,drowning or exhaustion related death,,2015-08-18T00:00:00Z,3Q2015,2015 -- 8,2015,6,0,6,"A boat overloaded with 31 Syrians sank on Tuesday, and six, including an infant, drowned.",Near Kos,31.1,27,"31.1, 27",,,Eastern Mediterranean route,Reuters,http://uk.reuters.com/article/2015/08/19/uk-europe-migrants-turkey-syria-idUKKCN0QO1AQ20150819
,unknown,unknown - supposedly exhaustion related death,,2015-08-16T00:00:00Z,3Q2015,2015 -- 8,2015,1,0,1,Rescuers found one migrant dead and saved 354 on a fishing boat in rough seas,Near the southern shores of Italy,37.7,17.2,"37.7, 17.2",,,Central Mediterranean route,Reuters,http://uk.reuters.com/article/2015/08/17/uk-europe-migrants-idUKKCN0QM1KT20150817
,asphyxiated,drowning or exhaustion related death,,2015-08-15T00:00:00Z,3Q2015,2015 -- 8,2015,49,0,49,"49 people were found dead, probably from suffocation, on an overcrowded fishing boat.",near Catania (Italy),37,16.4,"37, 16.4",,,Central Mediterranean route,Reuters,http://www.reuters.com/article/2015/08/16/us-europe-migrants-italy-idUSKCN0QL0JG20150816
,fall,authorities related death,,2015-08-11T00:00:00Z,3Q2015,2015 -- 8,2015,1,0,1,A Senegalese man plunged to his death during a police raid,Salou,41.07824,1.13346,"41.07824, 1.13346",1,,Western Mediterranean route,Libération,http://www.liberation.fr/monde/2015/08/11/en-espagne-une-ville-en-etat-de-siege-apres-la-mort-d-un-senegalais_1362048
,unknown,unknown - supposedly exhaustion related death,,2015-08-06T00:00:00Z,3Q2015,2015 -- 8,2015,25,200,225,A boat capsized off the coast of Libya. Between 600 and 700 were onboard. Only around 400 were rescued and 25 bodies were found,North of Zouara (Libya),33.52,12.69,"33.52, 12.69",225,,Central Mediterranean route,Le Monde,http://www.lemonde.fr/europe/article/2015/08/06/200-migrants-en-provenance-de-libye-toujours-portes-disparus-en-mediterranee_4714311_3214.html
,asphyxiated,drowning or exhaustion related death,,2015-08-03T00:00:00Z,3Q2015,2015 -- 8,2015,1,0,1,A 27 year old Moroccan has been found axphyxiated in a luggage on a ferry between Mellila and Almeria,between Mellila and Almeria,36.1,-2.7,"36.1, -2.7",1,,Western Mediterranean route,Le Monde,http://www.lemonde.fr/europe/article/2015/08/03/en-espagne-un-migrant-meurt-asphyxie-dans-une-valise-quatre-autres-se-noient-en-mediterranee_4709892_3214.html
,unknown,unknown - supposedly exhaustion related death,,2015-08-02T00:00:00Z,3Q2015,2015 -- 8,2015,4,0,4,"4 men have been found dead at sea, trying to get to Ceuta",near Ceuta,35.9,-5.3,"35.9, -5.3",4,,Western Mediterranean route,Le Monde,http://www.lemonde.fr/europe/article/2015/08/03/en-espagne-un-migrant-meurt-asphyxie-dans-une-valise-quatre-autres-se-noient-en-mediterranee_4709892_3214.html
,unknown,unknown - supposedly exhaustion related death,,2015-08-02T00:00:00Z,3Q2015,2015 -- 8,2015,5,0,5,"About 1,800 migrants have been rescued from seven overcrowded vessels in the Mediterranean, while five corpses were found on a rubber boat carrying 212 others, according to the Italian coastguard.
The bodies were found on board at the time of the rescue, a coastguard spokeswoman said on Sunday. The cause of death was not yet known.",Italian coasts,36.3,18.9,"36.3, 18.9",5,,Central Mediterranean route,The Guardian,http://www.theguardian.com/world/2015/aug/02/italian-coastguard-rescues-1800-migrants
,fall,"violent accidental death (transport, blown in minefield...)",,2015-07-07T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,One migrant fall from a train and broke his neck.,Calais,50.954468,1.862801,"50.954468, 1.862801",4,,,La Voix du Nord,http://www.lavoixdunord.fr/region/intrusion-de-pres-de-500-migrants-dans-le-site-du-ia33b48581n2932235
,fall,"violent accidental death (transport, blown in minefield...)",,2015-07-13T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,One migrant died falling from a truck.,Between Budapest and Vienna,47.7,17.6,"47.7, 17.6",1,,,Index.hu,http://www.hu-lala.org/un-migrant-trouve-la-mort-dans-le-sud-de-la-hongrie/
,run over by a car,"violent accidental death (transport, blown in minefield...)",,2015-07-15T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,One migrant died trying to escape from a police control.,Röszke,46.1861871,20.0312352,"46.1861871, 20.0312352",1,,Western Balkan route       ,Index.hu,http://www.hu-lala.org/un-migrant-trouve-la-mort-dans-le-sud-de-la-hongrie/
,stabbed,malicious intent related death / manslaughter,,2015-07-01T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,A migrant died while being evacuated from a squat,Tanger,35.766667,-5.8,"35.766667, -5.8",190,,Western Mediterranean route,AFP,http://www.lorientlejour.com/article/932429/maroc-un-migrant-tue-en-marge-dune-operation-devacuation-de-squats-a-tanger-autorites.html
,drowned,drowning or exhaustion related death,,2015-07-09T00:00:00Z,3Q2015,2015 -- 7,2015,12,0,12,12 migrants drowned in the sea and 500 saved near Lampedusa,Lampedusa,35.5059,12.6073,"35.5059, 12.6073",12,,Central Mediterranean route,France Info,http://www.francetvinfo.fr/monde/europe/naufrage-a-lampedusa/douze-migrants-sont-morts-noyes-en-mediterranee-500-autres-ont-ete-secourus_991383.html
,unknown,unknown - supposedly exhaustion related death,,2015-07-07T00:00:00Z,3Q2015,2015 -- 7,2015,1,15,16,"A ship sunk between Turkey and Greece. 20 people got saved, 15 are missing, 1 dead.",Farmakonisi,37.291,27.08,"37.291, 27.08",16,,Eastern Mediterranean route,AFP,http://www.lemonde.fr/immigration-et-diversite/article/2015/07/07/naufrage-d-un-bateau-de-migrants-entre-la-turquie-et-la-grece_4674062_1654200.html
,drowned,drowning or exhaustion related death,,2015-07-23T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,One migrant drowned while trying to get into the Eurostar Tunnel,Calais,50.954468,1.862801,"50.954468, 1.862801",4,,,BFM,http://www.bfmtv.com/societe/calais-un-migrant-mort-noye-en-tentant-de-s-introduire-sur-le-site-d-eurotunnel-903263.html
,burned,"violent accidental death (transport, blown in minefield...)",,2015-07-20T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,One migrant burned while trying to get into the Eurostar tunnel,Calais,50.954468,1.862801,"50.954468, 1.862801",4,,,Le Parisien,http://www.leparisien.fr/faits-divers/calais-deces-d-un-migrant-brule-dans-le-tunnel-sous-la-manche-20-07-2015-4959303.php
,unknown,unknown - supposedly exhaustion related death,,2015-07-24T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,Teen migrant found dead on the roof of an Eurostar,Folkestone,51.081398,1.169456,"51.081398, 1.169456",2,,,The Independant,http://www.independent.co.uk/news/uk/home-news/calais-crisis-teenage-migrant-found-dead-on-top-of-eurotunnel-train-10412548.html
,unknown,unknown - supposedly exhaustion related death,,2015-07-23T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,Migrant found dead in a Eurostar,Folkestone,51.081398,1.169456,"51.081398, 1.169456",2,,,France 3,http://france3-regions.francetvinfo.fr/nord-pas-de-calais/un-migrant-retrouve-mort-au-terminal-britannique-d-eurotunnel-775727.html
,lack of medical care,malicious intent related death / manslaughter,,2015-07-20T00:00:00Z,3Q2015,2015 -- 7,2015,1,0,1,Diabetic child dies on migrant boat after traffickers throw her insulin overboard,Between Egypt and Sicily,32.23,26.64,"32.23, 26.64",1,,Central Mediterranean route,The Independant,http://www.independent.co.uk/news/world/europe/mediterranean-migrant-crisis-diabetic-child-dies-on-migrant-boat-after-traffickers-throw-her-insulin-overboard-10402029.html
,unknown,unknown - supposedly exhaustion related death,,2015-07-07T00:00:00Z,3Q2015,2015 -- 7,2015,0,30,30,"The migrants fell into the water and most were rescued by a commercial boat and then by a German navy ship, the Holstein, which brought a total of 283 people to safety.One 22-year-old Ghanaian cited by the newspaper claimed that some 30 of his fellow travellers had died.",Between Italy and Libya,34,14,"34, 14",86,,Central Mediterranean route,Dispatch times,http://www.dispatchtimes.com/italian-coast-guard-rescues-414-boat-migrants-including-4-newborns/19661/
